"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"499","Oskar Lindblom","PHI","L","50","75.266666666667","0","0","0","0","0","0.00","3","0.00","0.35","7","7","3","1","0","0","0","0","0","0","0","0","1","1","0","3","7","1","1","50.00"
"501","Kevin Labanc","S.J","R","55","1.1666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"502","Sammy Blais","STL","L","36","0.26666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"503","Victor Olofsson","BUF","L","56","1.1","0","0","0","0","0","-","1","0.00","0.03","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"504","Pierre Engvall","TOR","L","42","22.8","0","0","0","0","0","-","1","0.00","0.24","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","3","3","50.00"
"506","Jacob Middleton","S.J","D","1","0.16666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"507","Matthew Highmore","CHI, VAN","C","42","45.7","0","0","0","0","0","-","2","0.00","0.27","2","2","1","1","1","0","0","0","0","0","0","0","0","2","0","1","1","3","1","75.00"
"508","Dryden Hunt","ARI","L","26","0.083333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"510","Frank Vatrano","FLA","C","56","7.2","0","0","0","0","0","-","2","0.00","0.31","2","2","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"511","Noah Hanifin","CGY","D","47","25.45","0","0","0","0","0","-","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","3","0","1","0","1","0","0","-"
