"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"23","Dustin Brown","L.A","L, R","66","165.73333333333","2.5111111111111","0.36","1.45","0.72","0.72","1.81","29.41","7.24","5.00","1.53","14.48","12.31","9.77","6.52","0","1.45","0.72","0.36","0.36","0","0","0","1.45","0.36","1.45","0.36","0","0","0","-"
"638","Troy Terry","ANA","C, R","47","83.7","1.7808510638298","0","1.43","0.72","0.72","1.43","50.00","9.32","0.00","1.07","16.49","11.47","9.32","2.87","0.72","2.15","1.43","0.72","0.72","0","0","0","2.15","0.72","0","5.02","0","0","0","-"
"74","Patric Hornqvist","PIT","R","52","169.61666666667","3.261858974359","1.06","1.41","0.71","0.71","2.48","25.93","18.39","5.77","3.76","27.95","24.05","25.47","16.98","0.35","3.54","5.31","2.12","1.77","0.35","0","0.71","1.06","0","2.83","3.54","0","0","0.35","0.00"
"109","James van Riemsdyk","PHI","L","66","168.08333333333","2.5467171717172","1.43","1.78","1.07","0.71","3.21","47.37","13.21","10.81","2.29","16.78","16.06","15.35","12.85","0","1.43","0.71","0.36","0.36","0","0","0","2.14","0","0.36","1.07","0","0.36","0","35.70"
"448","Anthony Duclair","OTT","L","66","170.05","2.5765151515152","1.76","1.06","0.35","0.71","2.82","50.00","16.58","10.64","1.75","30.34","22.93","13.76","2.82","0.35","1.76","0.71","0.35","0.35","0","0","0","3.53","0.71","1.06","3.18","0","0","0","-"
"481","Bo Horvat","VAN","C","69","253.56666666667","3.6748792270531","2.6","0.95","0.24","0.71","3.55","44.12","10.88","23.91","1.4","13.72","12.07","10.41","5.92","0","1.18","0","0","0","0","0","0.24","0.95","0.47","0.71","0.71","0.24","38.81","19.4","15.77"
"133","Wayne Simmonds","BUF, N.J","R","68","174.95","2.5727941176471","1.71","1.37","0.69","0.69","3.09","47.37","12","14.29","2.5","15.78","14.4","13.72","12","0","2.4","8.92","1.71","1.03","0","0.69","0","0","0.69","2.74","3.43","0","3.77","4.46","15.72"
"718","Cody Glass","VGK","C","39","87.25","2.2371794871795","0.69","3.44","2.75","0.69","4.13","46.15","2.75","25.00","0.74","6.88","5.5","4.13","3.44","0","0","1.38","0.69","0.69","0","0","0","3.44","1.38","0.69","1.38","0","1.38","3.44","19.65"
"100","Alex Killorn","T.B","C, L","68","176.28333333333","2.5924019607843","2.72","1.7","1.02","0.68","4.42","50.00","9.19","29.63","1.49","13.95","13.27","11.91","7.15","0.34","1.36","0","0","0","0","0","0","2.38","0.68","1.7","3.06","0","0","0","-"
"292","Ondrej Palat","T.B","L","69","88.75","1.286231884058","2.7","2.7","2.03","0.68","5.41","53.33","10.14","26.67","1.69","14.2","12.17","12.85","6.76","0","0.68","1.35","0.68","0.68","0","0","0.68","1.35","0.68","4.06","2.03","0","0","0","-"
"592","Mathew Barzal","NYI","C","68","180.45","2.6536764705882","1.33","2.66","2","0.67","3.99","66.67","11.31","11.76","1.25","18.62","13.97","10.64","2.99","0","0.67","3.33","1.33","1.33","0","0","1","5.65","0","0.33","1.66","0","2.99","2.33","18.70"
"773","Adam Boqvist","CHI","D","41","89.05","2.1719512195122","0","1.35","0.67","0.67","1.35","28.57","8.76","0.00","0.59","16.17","11.45","4.04","0","0","2.02","0","0","0","0","0","0","0","0","1.35","2.02","1.35","0","0","-"
"657","Charlie McAvoy","BOS","D","67","90.766666666667","1.3547263681592","0.66","0.66","0","0.66","1.32","25.00","9.92","6.67","1.14","25.12","16.53","10.58","3.31","0","1.98","1.32","0.66","0.66","0","0","0","3.31","0.66","0","3.31","0.66","0","0","-"
"567","Noah Hanifin","CGY","D","70","92.916666666667","1.327380952381","0.65","2.58","1.94","0.65","3.23","55.56","7.1","9.09","0.71","14.21","12.27","3.23","0","0.65","1.29","0","0","0","0","0","0","0","0","0.65","0","0.65","0","0","-"
"598","Jack Roslovic","WPG","C","71","92.85","1.3077464788732","0.65","0.65","0","0.65","1.29","28.57","8.4","7.69","1.29","14.22","11.63","9.69","5.17","0","0.65","0","0","0","0","0","0","0.65","0.65","1.94","4.52","0","3.88","3.23","35.25"
"242","Jordan Weal","MTL","C","49","95.316666666667","1.9452380952381","1.26","1.89","1.26","0.63","3.15","55.56","12.59","10.00","1.79","17.63","15.11","11.33","6.92","0","2.52","0","0","0","0","0","0","0","0.63","0","1.26","0","20.77","15.11","36.44"
"25","Zach Parise","MIN","L","69","192.26666666667","2.7864734299517","3.74","1.87","1.25","0.62","5.62","58.06","13.42","27.91","2.43","19.66","18.41","16.85","12.48","0","1.56","0.62","0.31","0.31","0","0","0","0","0.62","0.31","2.18","0","4.06","2.81","18.44"
"207","Dmitry Orlov","WSH","D","69","96.033333333333","1.3917874396135","0.62","2.5","1.87","0.62","3.12","50.00","3.75","16.67","0.29","11.25","5.62","1.25","0","0.62","0.62","0","0","0","0","0","0.62","1.25","1.87","1.25","0.62","0.62","0","0","-"
"361","Alex Galchenyuk","MIN, PIT","C","59","97.25","1.6483050847458","1.23","3.08","2.47","0.62","4.32","77.78","12.96","9.52","1.6","20.36","15.42","12.96","3.7","0","1.85","1.23","0.62","0.62","0","0","0","2.47","0","0.62","5.55","0","6.17","5.55","32.47"
"513","William Nylander","TOR","C, R","68","199.18333333333","2.9291666666667","2.71","2.41","1.81","0.6","5.12","60.71","10.84","25.00","1.61","17.17","14.76","12.95","6.33","0","0.3","0","0","0","0","0","0","1.81","0.6","0","2.41","0","2.71","1.81","18.07"
